# Monster resolution metadata
# Source monster_data: C:\Users\lennyfaze\AppData\LocalLow\BBB INC. BUT XMLS!!\My Singing Monsters\1\monster_data.xml
# Source gene_data: C:\Users\lennyfaze\AppData\LocalLow\BBB INC. BUT XMLS!!\My Singing Monsters\1\gene_data.xml
# Source island_data: C:\Users\lennyfaze\AppData\LocalLow\BBB INC. BUT XMLS!!\My Singing Monsters\1\island_data.xml
# Generated (UTC): 2026-03-14 23:53:22Z

[GENE_LEGEND]
A = graphic:gene_air | string:GENE_A_LABEL | sort:1
B = graphic:gene_plant | string:GENE_B_LABEL | sort:2
C = graphic:gene_earth | string:GENE_C_LABEL | sort:3
D = graphic:gene_water | string:GENE_D_LABEL | sort:4
E = graphic:gene_cold | string:GENE_E_LABEL | sort:5
N = graphic:gene_fire | string:GENE_N_LABEL | sort:6
R = graphic:gene_psychic | string:GENE_R_LABEL | sort:7
V = graphic:gene_bone | string:GENE_V_LABEL | sort:8
W = graphic:gene_light | string:GENE_W_LABEL | sort:9
Y = graphic:gene_fairy | string:GENE_Y_LABEL | sort:10
G = graphic:gene_ecto_plasma | string:GENE_G_LABEL | sort:11
J = graphic:gene_shadow | string:GENE_J_LABEL | sort:12
K = graphic:gene_mech | string:GENE_K_LABEL | sort:13
L = graphic:gene_crystal | string:GENE_L_LABEL | sort:14
M = graphic:gene_toxic | string:GENE_M_LABEL | sort:15
H = graphic:gene_dream | string:GENE_H_LABEL | sort:16
P = graphic:gene_mythical | string:GENE_P_LABEL | sort:17
Z = graphic:gene_legendary | string:GENE_Z_LABEL | sort:18
O = graphic:gene_legendary | string:GENE_O_LABEL | sort:19
Q = graphic:gene_dipster | string:GENE_Q_LABEL | sort:20
U = graphic:gene_electricity | string:GENE_U_LABEL | sort:21
F = graphic:gene_electricity | string:GENE_F_LABEL | sort:22
T = graphic:gene_celestial | string:GENE_T_LABEL | sort:23
I = graphic:gene_paironormal | string:GENE_I_LABEL | sort:24

[ISLAND_LEGEND]
1 = name:ISLAND_1 | file:island01.bin | midi:world01.mid | icon:island_buttons01.xml:islands_button_isl01
2 = name:ISLAND_2 | file:island02.bin | midi:world02.mid | icon:island_buttons01.xml:islands_button_isl02
3 = name:ISLAND_3 | file:island03.bin | midi:world03.mid | icon:island_buttons01.xml:islands_button_isl03
4 = name:ISLAND_4 | file:island04.bin | midi:world04.mid | icon:island_buttons01.xml:islands_button_isl04
5 = name:ISLAND_5 | file:island05.bin | midi:world05.mid | icon:island_buttons01.xml:islands_button_isl05
6 = name:ISLAND_GOLD | file:island06.bin | midi:world06.mid | icon:island_buttons01.xml:islands_button_isl06
7 = name:ISLAND_ETHEREAL | file:island07.bin | midi:world07.mid | icon:island_buttons01.xml:islands_button_isl07
8 = name:ISLAND_SHUGA | file:island08.bin | midi:world08.mid | icon:island_buttons01.xml:islands_button_isl08
9 = name:ISLAND_TRIBAL | file:island09.bin | midi:world09.mid | icon:island_buttons01.xml:islands_button_isl09
10 = name:ISLAND_UNDERLING | file:island10.bin | midi:world10.mid | icon:island_buttons01.xml:islands_button_isl010
11 = name:ISLAND_COMPOSER | file:island11.bin | midi:world01.mid | icon:island_buttons03.xml:islands_button_isl011
12 = name:ISLAND_CELESTIAL | file:island12.bin | midi:world12.mid | icon:island_buttons01.xml:islands_button_isl012
13 = name:ISLAND_FIRE | file:island13.bin | midi:world13.mid | icon:island_buttons01.xml:islands_button_isl013
14 = name:ISLAND_14 | file:island14.bin | midi:world14.mid | icon:island_buttons01.xml:islands_button_isl014
15 = name:ISLAND_15 | file:island15.bin | midi:world15.mid | icon:island_buttons02.xml:islands_button_isl015
16 = name:ISLAND_16 | file:island16.bin | midi:world16.mid | icon:island_buttons02.xml:islands_button_isl016
17 = name:ISLAND_17 | file:island17.bin | midi:world17.mid | icon:island_buttons02.xml:islands_button_isl017
18 = name:ISLAND_18 | file:island18.bin | midi:world18.mid | icon:island_buttons03.xml:islands_button_isl018
19 = name:ISLAND_19 | file:island19.bin | midi:world19.mid | icon:island_buttons03.xml:islands_button_isl019
20 = name:ISLAND_BATTLE | file:island20.bin | midi:world01.mid | icon:island_buttons03.xml:islands_button_isl020
21 = name:ISLAND_21 | file:island21.bin | midi:world21.mid | icon:island_buttons03.xml:islands_button_isl021
22 = name:ISLAND_22 | file:island22.bin | midi:world22.mid | icon:island_buttons03.xml:islands_button_isl022
23 = name:ISLAND_23 | file:island23.bin | midi:world23.mid | icon:island_buttons03.xml:islands_button_isl023
24 = name:ISLAND_24 | file:island24.bin | midi:world24.mid | icon:island_buttons03.xml:islands_button_isl024
25 = name:ISLAND_25 | file:island25.bin | midi:world25.mid | icon:island_buttons03.xml:islands_button_isl025
26 = name:ISLAND_26 | file:island26.bin | midi:world26.mid | icon:island_buttons05.xml:islands_button_isl026
27 = name:ISLAND_27 | file:island27.bin | midi:world27.mid | icon:island_buttons05.xml:islands_button_isl027
28 = name:ISLAND_28 | file:island28.bin | midi:world28.mid | icon:island_buttons05.xml:islands_button_isl028
31 = name:ISLAND_31 | file:island31.bin | midi:world31.mid | icon:island_buttons05.xml:islands_button_isl031
101 = name:ISLAND_1_MIRROR | file:island01_MIRROR.bin | midi:world101.mid | icon:island_buttons02.xml:islands_button_isl01_MIRROR
102 = name:ISLAND_2_MIRROR | file:island02_MIRROR.bin | midi:world102.mid | icon:island_buttons02.xml:islands_button_isl02_MIRROR
103 = name:ISLAND_3_MIRROR | file:island03_MIRROR.bin | midi:world103.mid | icon:island_buttons02.xml:islands_button_isl03_MIRROR
104 = name:ISLAND_4_MIRROR | file:island04_MIRROR.bin | midi:world104.mid | icon:island_buttons02.xml:islands_button_isl04_MIRROR
105 = name:ISLAND_5_MIRROR | file:island05_MIRROR.bin | midi:world105.mid | icon:island_buttons02.xml:islands_button_isl05_MIRROR
106 = name:ISLAND_COMPOSER | file:island11.bin | midi:world01.mid | icon:island_buttons02.xml:islands_button_isl011
107 = name:ISLAND_COMPOSER | file:island11.bin | midi:world01.mid | icon:island_buttons02.xml:islands_button_isl011
108 = name:ISLAND_COMPOSER | file:island11.bin | midi:world01.mid | icon:island_buttons02.xml:islands_button_isl011
109 = name:ISLAND_COMPOSER | file:island11.bin | midi:world01.mid | icon:island_buttons02.xml:islands_button_isl011
115 = name:ISLAND_15_MIRROR | file:island15_MIRROR.bin | midi:world115.mid | icon:island_buttons05.xml:islands_button_isl015_MIRROR
116 = name:ISLAND_16_MIRROR | file:island16_MIRROR.bin | midi:world116.mid | icon:island_buttons05.xml:islands_button_isl016_MIRROR
117 = name:ISLAND_17_MIRROR | file:island17_MIRROR.bin | midi:world117.mid | icon:island_buttons05.xml:islands_button_isl017_MIRROR
118 = name:ISLAND_18_MIRROR | file:island18_MIRROR.bin | midi:world118.mid | icon:island_buttons05.xml:islands_button_isl018_MIRROR

[MONSTER_RESOLUTION]
common_name=Adult Attmoz | file=monster_t05_ADULT.bin | stem=monster_t05_adult | entity_type=monster | monster_id=733 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Adult Blasoom | file=monster_t09_ADULT.bin | stem=monster_t09_adult | entity_type=monster | monster_id=763 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Adult Furnoss | file=monster_t07_ADULT.bin | stem=monster_t07_adult | entity_type=monster | monster_id=749 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Adult Galvana | file=monster_t12_ADULT.bin | stem=monster_t12_adult | entity_type=monster | monster_id=804 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Adult Glaishur | file=monster_t08_ADULT.bin | stem=monster_t08_adult | entity_type=monster | monster_id=752 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Adult Hornacle | file=monster_t06_ADULT.bin | stem=monster_t06_adult | entity_type=monster | monster_id=741 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Adult Loodvigg | file=monster_t02_ADULT.bin | stem=monster_t02_adult | entity_type=monster | monster_id=668 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Adult Plixie | file=monster_t04_ADULT.bin | stem=monster_t04_adult | entity_type=monster | monster_id=721 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Adult Scaratar | file=monster_t01_ADULT.bin | stem=monster_t01_adult | entity_type=monster | monster_id=667 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Adult Syncopite | file=monster_t10_ADULT.bin | stem=monster_t10_adult | entity_type=monster | monster_id=780 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Adult Torrt | file=monster_t03_ADULT.bin | stem=monster_t03_adult | entity_type=monster | monster_id=693 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Adult Vhamp | file=monster_t11_ADULT.bin | stem=monster_t11_adult | entity_type=monster | monster_id=787 | class=CLASS_RARE_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Anglow | file=monster_p06.bin | stem=monster_p06 | entity_type=monster | monster_id=641 | class=CLASS_MYTHICAL | fam=CLASS_MYTHICAL | genes=P | gene_graphics=gene_mythical | islands=4,23,104
common_name=Arackulele | file=monster_jk.bin | stem=monster_jk | entity_type=monster | monster_id=56 | class=CLASS_ETHEREAL | fam=CLASS_ETHEREAL | genes=JK | gene_graphics=gene_shadow,gene_mech | islands=7,20,27,28
common_name=Arcorina (Major) | file=monster_i03_maj.bin | stem=monster_i03_maj | entity_type=monster | monster_id=909 | class=CLASS_PAIRONORMAL | fam=CLASS_PAIRONORMAL | genes=3 | gene_graphics=?3 | islands=17,31
common_name=Arcorina (Minor) | file=monster_i03_min.bin | stem=monster_i03_min | entity_type=monster | monster_id=910 | class=CLASS_PAIRONORMAL | fam=CLASS_PAIRONORMAL | genes=3 | gene_graphics=?3 | islands=31,117
common_name=Arcorina (Multimodal) | file=placeholder_ghost.bin | stem=placeholder_ghost | entity_type=monster | monster_id=918 | class=CLASS_PAIRONORMAL | fam=CLASS_PAIRONORMAL | genes=3 | gene_graphics=?3 | islands=31
common_name=Astropod | file=monster_u18.bin | stem=monster_u18 | entity_type=box_monster | monster_id=238 | class=CLASS_SUPERNATURAL | fam=CLASS_SUPERNATURAL_WUBLIN | genes=U | gene_graphics=gene_electricity | islands=10
common_name=Attmoz | file=monster_t05.bin | stem=monster_t05 | entity_type=box_monster | monster_id=252 | class=CLASS_CELESTIAL | fam=CLASS_CELESTIAL | genes=T | gene_graphics=gene_celestial | islands=12
common_name=Auglur | file=monster_gkm.bin | stem=monster_gkm | entity_type=monster | monster_id=684 | class=CLASS_ETHEREAL | fam=CLASS_ETHEREAL | genes=GKM | gene_graphics=gene_ecto_plasma,gene_mech,gene_toxic | islands=24,26,27
common_name=Banjaw | file=monster_dnv.bin | stem=monster_dnv | entity_type=monster | monster_id=443 | class=CLASS_MAGICAL | fam=CLASS_MAGICAL | genes=DNV | gene_graphics=gene_water,gene_fire,gene_bone | islands=17,25,117
common_name=Barrb | file=monster_abn.bin | stem=monster_abn | entity_type=monster | monster_id=268 | class=CLASS_FIRE | fam=CLASS_FIRE | genes=ABN | gene_graphics=gene_air,gene_plant,gene_fire | islands=13
common_name=Barrb Amber Island | file=monster_abn_amber.bin | stem=monster_abn_amber | entity_type=box_monster | monster_id=563 | class=CLASS_FIRE | fam=CLASS_FIRE | genes=ABN | gene_graphics=gene_air,gene_plant,gene_fire | islands=22
common_name=Base Common Wubbox | file=monster_f.bin | stem=monster_f | entity_type=box_monster | monster_id=953 | class=CLASS_SUPERNATURAL | fam=CLASS_SUPERNATURAL | genes=F | gene_graphics=gene_electricity | islands=-
common_name=BBNO$ Legendary | file=monster_z09.bin | stem=monster_z09 | entity_type=monster | monster_id=945 | class=CLASS_LEGENDARY_BB | fam=CLASS_LEGENDARY_BB | genes=Z | gene_graphics=gene_legendary | islands=2,102
common_name=Bellowfish | file=monster_kl.bin | stem=monster_kl | entity_type=monster | monster_id=78 | class=CLASS_ETHEREAL | fam=CLASS_ETHEREAL | genes=KL | gene_graphics=gene_mech,gene_crystal | islands=7,20,27
common_name=BeMeebEth | file=monster_gjklm.bin | stem=monster_gjklm | entity_type=monster | monster_id=710 | class=CLASS_ETHEREAL | fam=CLASS_ETHEREAL | genes=GJKLM | gene_graphics=gene_ecto_plasma,gene_shadow,gene_mech,gene_crystal,gene_toxic | islands=24
common_name=Bisonorus | file=monster_abdn.bin | stem=monster_abdn | entity_type=monster | monster_id=702 | class=CLASS_FIRE | fam=CLASS_FIRE | genes=ABDN | gene_graphics=gene_air,gene_plant,gene_water,gene_fire | islands=15,115
common_name=Bisonorus Amber Island | file=monster_abdn_amber.bin | stem=monster_abdn_amber | entity_type=box_monster | monster_id=612 | class=CLASS_FIRE | fam=CLASS_FIRE | genes=ABDN | gene_graphics=gene_air,gene_plant,gene_water,gene_fire | islands=22
common_name=Blabbit | file=monster_s04.bin | stem=monster_s04 | entity_type=monster | monster_id=49 | class=CLASS_SEASON_EASTER | fam=CLASS_SEASON | genes=- | gene_graphics=- | islands=4,6,20,104
common_name=Blabbit Seasonal Island | file=monster_s04.bin | stem=monster_s04 | entity_type=monster | monster_id=519 | class=CLASS_SEASON_EASTER | fam=CLASS_SEASON | genes=- | gene_graphics=- | islands=21
